Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pf,C_Disc_D3.4mm_W2.1mm_P2.50mm,88.740000,-99.060000,0.000000,top
C2,22pf,C_Disc_D3.4mm_W2.1mm_P2.50mm,111.600000,-99.060000,0.000000,top
C3,100 nf,C_Disc_D3.4mm_W2.1mm_P2.50mm,106.720000,-45.720000,0.000000,top
C4,100 nf,C_Disc_D3.4mm_W2.1mm_P2.50mm,119.420000,-45.720000,0.000000,top
D1,Diode,D_DO-41_SOD81_P10.16mm_Horizontal,96.520000,-33.020000,0.000000,top
D2,LED,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,134.620000,-41.665000,90.000000,top
J2,SSD1306 OLED,PinHeader_1x04_P2.54mm_Vertical,106.680000,-60.960000,0.000000,top
J3,DHT22,PinHeader_1x04_P2.54mm_Vertical,129.540000,-93.980000,180.000000,top
J4,DC Power,BarrelJack_Horizontal,87.280000,-33.020000,0.000000,top
R1,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,78.540000,-99.060000,0.000000,top
R2,5.1 k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,134.620000,-35.560000,90.000000,top
R3,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,116.840000,-93.980000,0.000000,top
R4,4.7k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,93.980000,-62.890000,0.000000,top
R5,4.7k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,93.980000,-68.580000,0.000000,top
U1,ATmega328P-P,DIP-28_W7.62mm_Socket,78.740000,-88.900000,90.000000,top
U3,L7805,TO255P1040X460X1968-3,114.300000,-33.010000,-90.000000,top
Y1,16MHz,Crystal_HC49-4H_Vertical,99.060000,-99.060000,0.000000,top
