Comment,Designator,Footprint,LCSC
"22pf","C1,C2","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm",""
"100 nf","C3,C4","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm",""
"Diode","D1","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"LED","D2","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",""
"SSD1306 OLED","J2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"DHT22","J3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"DC Power","J4","Connector_BarrelJack:BarrelJack_Horizontal",""
"10k","R1,R3","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"5.1 k","R2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"4.7k","R4,R5","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"ATmega328P-P","U1","Package_DIP:DIP-28_W7.62mm_Socket",""
"L7805","U3","L385cv:TO255P1040X460X1968-3",""
"16MHz","Y1","Crystal:Crystal_HC49-4H_Vertical",""
